Topic,Count,Name,Representation,Representative_Docs,IDs
-1,1067,-1_students_food_campus_provide,"['students', 'food', 'campus', 'provide', 'staff', 'need', 'help', 'support', 'make', 'housing']","['make food pantry available staff faculty', 'provide staff housing healthy affordable food options', 'provide food students campus']","['93', '176', '342', '379', '406', '411', '458', '562', '577', '581', '627', '707', '754', '888', '891', '942', '955', '1008', '1128', '1141', '1226', '1287', '1321', '1342', '1357', '1422', '1433', '1441', '1501', '1568', '1574', '1603', '1634', '2226', '2266', '2400', '2533', '2568', '2570', '2571', '2574', '2577', '2593', '2599', '2604', '2615', '2643', '2666', '2703', '2721', '2738', '2748', '2757', '2781', '2810', '2871', '2873', '3113', '3136', '3315', '3323', '3467', '3811', '3838', '3872', '3922', '3925', '4047', '4049', '4051', '4056', '4068', '4077', '4085', '4221', '4311', '4365', '4485', '4541', '4556', '4580', '4708', '4724', '5079', '5507', '5538', '5559', '5585', '5600', '5615', '5823', '5850', '5877', '5909', '5915', '5918', '5921', '5931', '5941', '5987', '5989', '6002', '6010', '6071', '6117', '6129', '6149', '6153', '6162', '6170', '6171', '6195', '6197', '6244', '6294', '6303', '6340', '6363', '6371', '6444', '6530', '6654', '6663', '6669', '6671', '6734', '6749', '6792', '6865', '6877', '6905', '6909', '6927', '7003', '7016', '7102', '7184', '7193', '7252', '7265', '7310', '7459', '7482', '7573', '7657', '7660', '7702', '7751', '7933', '7958', '8023', '8028', '8031', '8158', '8325', '8340', '8579', '8612', '8655', '8899', '8922', '8971', '8981', '8996', '9003', '9044', '9056', '9075', '9128', '9172', '9192', '9202', '9213', '9305', '9336', '9464', '9481', '9864', '9927', '9981', '10081', '10199', '10216', '10221', '10238', '10242', '10254', '10258', '10393', '10408', '10447', '10498', '10684', '10688', '10700', '10713', '10734', '10762', '10957', '11130', '11274', '11463', '11559', '11863', '11909', '12109', '12140', '12372', '12462', '12494', '12698', '12705', '12831', '12887', '12965', '13004', '13017', '13105', '13139', '13180', '13394', '13404', '13406', '13407', '13408', '13412', '13451', '13830', '13835', '13850', '13866', '13886', '13888', '13910', '13933', '13987', '14017', '14085', '14136', '14157', '14261', '14388', '14467', '14486', '14925', '14952', '14989', '14999', '15012', '15050', '15072', '15130', '15169', '15174', '15221', '7', '45', '88', '93', '115', '134', '141', '154', '163', '164', '216', '217', '242', '313', '318', '330', '334', '342', '356', '380', '397', '400', '410', '412', '417', '445', '455', '473', '504', '521', '522', '562', '581', '589', '627', '647', '706', '737', '755', '788', '882', '888', '895', '904', '954', '957', '979', '980', '989', '990', '1008', '1014', '1021', '1041', '1057', '1059', '1078', '1126', '1167', '1251', '1287', '1295', '1298', '1315', '1320', '1321', '1339', '1342', '1377', '1379', '1384', '1413', '1423', '1433', '1435', '1446', '1453', '1513', '1574', '1634', '1682', '1929', '1978', '2056', '2122', '2137', '2266', '2321', '2370', '2404', '2406', '2409', '2410', '2414', '2416', '2422', '2430', '2448', '2453', '2508', '2510', '2520', '2524', '2534', '2535', '2560', '2566', '2570', '2577', '2590', '2591', '2597', '2599', '2604', '2637', '2639', '2653', '2667', '2686', '2689', '2713', '2720', '2721', '2730', '2736', '2738', '2741', '2757', '2800', '2816', '2822', '2828', '2870', '2877', '2879', '2884', '2902', '2966', '3024', '3025', '3058', '3080', '3112', '3113', '3136', '3154', '3161', '3165', '3200', '3262', '3315', '3323', '3356', '3411', '3437', '3450', '3452', '3463', '3474', '3484', '3491', '3550', '3569', '3639', '3696', '3734', '3752', '3811', '3826', '3837', '3847', '3869', '3885', '3909', '3922', '3941', '3964', '3976', '3984', '3986', '3993', '4002', '4057', '4064', '4085', '4124', '4155', '4205', '4220', '4221', '4222', '4238', '4285', '4292', '4311', '4334', '4482', '4550', '4556', '4558', '4580', '4681', '4705', '4708', '4736', '4878', '5078', '5079', '5248', '5263', '5265', '5269', '5288', '5345', '5378', '5478', '5486', '5488', '5503', '5507', '5597', '5600', '5816', '5823', '5845', '5847', '5855', '5876', '5903', '5905', '5909', '5915', '5925', '5931', '5935', '5982', '5989', '5997', '6000', '6007', '6019', '6020', '6054', '6071', '6090', '6100', '6101', '6105', '6110', '6124', '6126', '6129', '6131', '6158', '6161', '6162', '6170', '6195', '6197', '6238', '6242', '6243', '6247', '6258', '6303', '6304', '6314', '6327', '6334', '6344', '6355', '6370', '6371', '6374', '6379', '6393', '6403', '6406', '6441', '6501', '6508', '6530', '6583', '6598', '6602', '6652', '6659', '6682', '6686', '6687', '6696', '6701', '6702', '6711', '6749', '6775', '6792', '6822', '6827', '6865', '6905', '6922', '6927', '6940', '6954', '6967', '6985', '6997', '7007', '7017', '7019', '7030', '7083', '7088', '7097', '7101', '7102', '7120', '7137', '7234', '7255', '7259', '7265', '7275', '7283', '7287', '7293', '7310', '7408', '7427', '7459', '7482', '7491', '7532', '7551', '7560', '7563', '7564', '7586', '7610', '7620', '7645', '7656', '7660', '7665', '7669', '7696', '7701', '7702', '7728', '7770', '7774', '7797', '7807', '7813', '7821', '7877', '7906', '7933', '7958', '7968', '7990', '8031', '8043', '8050', '8066', '8082', '8130', '8148', '8254', '8340', '8364', '8371', '8397', '8567', '8596', '8693', '8703', '8883', '8888', '8894', '8896', '8907', '8909', '8913', '8916', '8920', '8925', '8928', '8932', '8936', '8937', '8941', '8946', '8947', '8954', '8960', '8962', '8969', '8970', '8981', '8986', '8987', '8989', '8990', '9003', '9029', '9037', '9038', '9042', '9054', '9072', '9074', '9075', '9076', '9093', '9105', '9114', '9120', '9166', '9192', '9200', '9202', '9252', '9263', '9270', '9295', '9310', '9340', '9376', '9415', '9451', '9486', '9500', '9501', '9507', '9546', '9553', '9570', '9620', '9649', '9687', '9698', '9702', '9717', '9790', '9836', '9864', '10020', '10023', '10043', '10049', '10074', '10084', '10108', '10112', '10146', '10177', '10187', '10216', '10220', '10221', '10224', '10240', '10279', '10315', '10318', '10354', '10363', '10366', '10394', '10413', '10421', '10461', '10473', '10520', '10628', '10666', '10685', '10688', '10695', '10698', '10700', '10713', '10731', '10735', '10739', '10751', '10764', '10768', '10778', '10881', '10957', '11019', '11039', '11060', '11071', '11078', '11091', '11095', '11274', '11420', '11463', '11500', '11531', '11540', '11557', '11604', '11679', '11909', '12080', '12110', '12207', '12231', '12250', '12259', '12289', '12296', '12297', '12365', '12374', '12386', '12404', '12411', '12444', '12447', '12462', '12478', '12661', '12674', '12850', '13010', '13080', '13105', '13110', '13127', '13153', '13182', '13236', '13260', '13278', '13283', '13298', '13313', '13337', '13397', '13404', '13405', '13406', '13407', '13447', '13451', '13526', '13537', '13596', '13605', '13758', '13793', '13804', '13828', '13833', '13844', '13852', '13857', '13906', '13910', '13918', '13959', '13977', '13987', '14001', '14017', '14046', '14125', '14149', '14151', '14226', '14261', '14388', '14422', '14432', '14444', '14445', '14458', '14467', '14468', '14486', '14601', '14619', '14637', '14809', '14915', '14943', '14988', '14996', '14999', '15000', '15012', '15028', '15050', '15072', '15125', '15126', '15127', '15129', '15174', '15184', '15195', '228', '257', '285', '380', '400', '410', '411', '445', '577', '589', '663', '706', '737', '895', '955', '973', '1060', '1167', '1174', '1226', '1298', '1379', '1433', '1456', '1574', '1623', '1682', '1776', '2156', '2266', '2410', '2547', '2571', '2574', '2603', '2617', '2651', '2697', '2704', '2730', '2738', '2757', '2828', '2836', '2841', '2879', '2884', '2946', '3113', '3135', '3315', '3443', '3508', '3878', '4060', '4170', '4205', '4220', '4558', '4648', '4722', '4724', '5269', '5345', '5585', '5600', '5681', '5814', '5823', '5836', '5847', '5850', '5935', '5986', '5987', '5997', '6008', '6018', '6020', '6022', '6035', '6061', '6069', '6071', '6105', '6121', '6126', '6149', '6161', '6243', '6287', '6303', '6305', '6313', '6336', '6359', '6374', '6382', '6393', '6505', '6599', '6662', '6698', '6792', '6865', '6872', '6905', '6940', '6967', '6991', '7234', '7350', '7550', '7638', '7755', '7908', '7931', '7958', '7998', '8002', '8015', '8040', '8158', '8164', '8178', '8180', '8884', '8913', '8941', '8957', '8961', '8967', '8979', '8981', '8989', '9072', '9084', '9105', '9133', '9182', '9192', '9272', '9305', '9336', '9451', '9464', '9507', '9553', '9776', '10081', '10135', '10238', '10253', '10254', '10366', '10436', '10466', '10586', '10622', '10666', '10684', '10697', '10764', '10768', '10792', '10854', '10881', '11065', '11274', '11463', '11629', '11863', '11909', '12109', '12158', '12233', '12320', '12462', '12468', '12528', '12705', '12817', '12821', '12831', '12887', '12900', '13288', '13303', '13321', '13462', '13565', '13852', '13866', '13867', '13987', '13997', '14149', '14261', '14314', '14996', '14999', '15000', '15012', '15214']"
0,749,0_bod___,"['bod', '', '', '', '', '', '', '', '', '']","['', '', 'bod']","['12', '34', '97', '408', '455', '503', '653', '674', '718', '744', '813', '882', '945', '957', '996', '1013', '1014', '1030', '1066', '1078', '1099', '1102', '1154', '1231', '1237', '1307', '1312', '1334', '1377', '1379', '1456', '1623', '1739', '2056', '2330', '2375', '2395', '2406', '2408', '2411', '2468', '2523', '2578', '2591', '2636', '2637', '2641', '2651', '2654', '2667', '2690', '2697', '2713', '2749', '2758', '2807', '2816', '2909', '2947', '2971', '2972', '2976', '2977', '3020', '3046', '3148', '3177', '3203', '3270', '3289', '3411', '3444', '3466', '3471', '3531', '3573', '3822', '3826', '3827', '3855', '3869', '3893', '3900', '3943', '3993', '4002', '4045', '4065', '4117', '4170', '4278', '4339', '4350', '4498', '4553', '4570', '4705', '4872', '4873', '4874', '4924', '4925', '4964', '5015', '5020', '5041', '5042', '5059', '5080', '5093', '5238', '5265', '5486', '5681', '5835', '5843', '5876', '5891', '5894', '5903', '5905', '5908', '5950', '6025', '6034', '6037', '6043', '6076', '6222', '6232', '6237', '6240', '6242', '6256', '6261', '6269', '6326', '6334', '6344', '6434', '6465', '6467', '6475', '6505', '6506', '6583', '6602', '6623', '6651', '6652', '6656', '6673', '6696', '6698', '6707', '6714', '6803', '6827', '6850', '6866', '6872', '6943', '6955', '6959', '7025', '7026', '7083', '7104', '7181', '7249', '7255', '7285', '7293', '7403', '7423', '7494', '7553', '7609', '7614', '7638', '7665', '7728', '7729', '7769', '7797', '7877', '7931', '7944', '7956', '8009', '8095', '8155', '8164', '8479', '8787', '8842', '8883', '8884', '8888', '8894', '8905', '8907', '8912', '8946', '8947', '8956', '8989', '8990', '9001', '9017', '9025', '9027', '9037', '9077', '9080', '9085', '9095', '9114', '9120', '9121', '9142', '9165', '9181', '9186', '9191', '9200', '9218', '9226', '9228', '9290', '9310', '9467', '9634', '9687', '9790', '9819', '10000', '10023', '10072', '10124', '10187', '10230', '10243', '10302', '10346', '10500', '10678', '10679', '10692', '10697', '10708', '10737', '10749', '10826', '10965', '10975', '10990', '11057', '11060', '11092', '11114', '11166', '11290', '11540', '11596', '11670', '11722', '11820', '11822', '11888', '11899', '12105', '12134', '12156', '12233', '12250', '12270', '12298', '12386', '12427', '12444', '12447', '12688', '12690', '13034', '13056', '13078', '13121', '13149', '13182', '13219', '13236', '13289', '13332', '13397', '13413', '13505', '13564', '13635', '13706', '13730', '13766', '13792', '13823', '13833', '13839', '13855', '13857', '13863', '13884', '13967', '13973', '14034', '14081', '14101', '14197', '14330', '14567', '14608', '14639', '14691', '14713', '14777', '14865', '14885', '14915', '14947', '15033', '15042', '15111', '15125', '15131', '15138', '15213', '15235', '923', '1310', '1312', '1501', '2330', '2411', '3046', '3135', '3177', '3413', '3435', '3872', '3943', '4350', '4498', '4872', '4873', '4874', '4924', '4925', '4964', '5017', '5020', '5059', '5559', '5615', '6091', '6237', '6282', '6413', '6623', '7025', '8023', '8083', '8164', '8880', '10000', '10070', '10678', '11227', '11290', '11976', '12464', '13078', '13121', '13564', '13834', '13967', '3', '91', '109', '163', '330', '333', '342', '397', '455', '503', '562', '748', '837', '923', '937', '942', '1030', '1066', '1078', '1097', '1099', '1102', '1293', '1312', '1321', '1334', '1413', '1422', '1446', '1501', '1506', '1611', '1739', '1929', '2122', '2226', '2260', '2375', '2394', '2411', '2412', '2431', '2438', '2448', '2523', '2530', '2534', '2572', '2578', '2597', '2636', '2713', '2720', '2758', '2816', '2822', '2845', '2870', '2877', '2906', '2927', '2965', '2976', '3025', '3037', '3046', '3107', '3165', '3177', '3203', '3260', '3308', '3413', '3435', '3466', '3506', '3531', '3550', '3734', '3808', '3811', '3822', '3823', '3826', '3837', '3869', '3872', '3896', '3936', '3943', '3966', '3986', '3993', '4002', '4020', '4044', '4050', '4056', '4157', '4158', '4222', '4256', '4285', '4345', '4498', '4541', '4550', '4556', '4580', '4681', '4708', '4736', '4854', '4872', '4874', '4878', '4924', '4925', '4933', '4964', '5015', '5017', '5020', '5059', '5079', '5080', '5248', '5264', '5265', '5429', '5460', '5486', '5488', '5503', '5507', '5509', '5559', '5572', '5595', '5597', '5643', '5659', '5825', '5828', '5879', '5901', '5903', '5907', '5956', '5966', '6002', '6011', '6080', '6090', '6107', '6132', '6153', '6231', '6242', '6250', '6256', '6261', '6281', '6314', '6315', '6319', '6399', '6415', '6438', '6482', '6528', '6529', '6530', '6602', '6623', '6658', '6668', '6728', '6850', '6896', '6909', '6943', '6950', '6959', '6975', '6979', '6998', '7017', '7019', '7025', '7137', '7213', '7223', '7285', '7293', '7420', '7447', '7459', '7610', '7639', '7657', '7671', '7684', '7729', '7797', '7831', '7940', '7996', '8034', '8050', '8083', '8155', '8271', '8576', '8787', '8796', '8888', '8894', '8905', '8929', '8937', '8953', '8960', '8962', '9017', '9028', '9030', '9057', '9059', '9077', '9083', '9120', '9125', '9142', '9165', '9181', '9186', '9213', '9228', '9258', '9290', '9295', '9309', '9463', '9494', '9687', '9690', '9698', '9793', '9816', '9927', '10000', '10012', '10023', '10070', '10129', '10230', '10231', '10279', '10315', '10323', '10346', '10386', '10395', '10566', '10620', '10628', '10655', '10678', '10687', '10700', '10737', '10826', '10832', '10975', '10990', '11040', '11057', '11060', '11071', '11092', '11172', '11227', '11290', '11483', '11500', '11578', '11679', '11691', '11790', '11797', '11820', '11903', '11976', '12095', '12105', '12107', '12131', '12266', '12296', '12369', '12374', '12386', '12396', '12404', '12410', '12411', '12427', '12494', '12594', '12661', '12680', '12688', '12728', '12774', '12818', '12978', '13078', '13080', '13120', '13121', '13139', '13149', '13173', '13226', '13316', '13377', '13447', '13460', '13505', '13564', '13726', '13730', '13756', '13763', '13766', '13791', '13796', '13823', '13833', '13839', '13907', '13967', '13988', '13994', '14034', '14078', '14093', '14330', '14411', '14601', '14607', '14615', '14619', '14715', '14777', '14952', '14989', '15004', '15111', '15121', '15125', '15138', '15174', '15213', '15222']"
1,107,1_housing_dorms_dorm_campus,"['housing', 'dorms', 'dorm', 'campus', 'student', 'homeless', 'build', 'apartment', 'students', 'faculty']","['campus housing', 'campus housing', 'housing shortage town university dorms students does make dorm rooms available faculty staff having housing specialist help people locate available housing andor having university housing available facultystaff buy rent make possible people work university people routinely turn job opportunities nearby housing']","['589', '1413', '4220', '5288', '6382', '13875', '459', '653', '1013', '1093', '1288', '1362', '1367', '1623', '2209', '2342', '2443', '2468', '2546', '2622', '2841', '2930', '3355', '3430', '3508', '3517', '3855', '3882', '4049', '4065', '4256', '4442', '5719', '5818', '5836', '5852', '5877', '5880', '5918', '5937', '6061', '6062', '6072', '6313', '6444', '6491', '6662', '6674', '6698', '6866', '6868', '7223', '7639', '7684', '7816', '7887', '7950', '8014', '8120', '8559', '8810', '9027', '9028', '9046', '9078', '9106', '9113', '9121', '9157', '9185', '9258', '9336', '9420', '9438', '9531', '9634', '10586', '10622', '10965', '11045', '11130', '11752', '12131', '12165', '12257', '12817', '13194', '13233', '13305', '13462', '13866', '14202', '14411', '14510', '15130', '15201', '15214', '3702', '3964', '6062', '6866', '7600', '7656', '7881', '8364', '9333', '14988']"
2,87,2_increase_pay_wages_higher,"['increase', 'pay', 'wages', 'higher', 'raises', 'salary', 'employees', 'raise', 'salaries', 'staff']","['increase pay', 'increase wages', 'pay higher wages']","['2565', '3748', '6599', '6688', '152', '176', '298', '367', '379', '891', '1177', '1422', '1737', '2260', '2403', '2550', '2571', '2617', '2620', '2871', '3349', '5888', '5891', '5987', '6010', '6012', '6018', '6056', '6104', '6117', '6219', '6223', '6376', '6382', '6438', '6511', '6875', '7047', '7138', '7477', '7520', '7615', '7657', '7757', '7892', '7931', '7985', '8001', '8018', '8028', '8158', '8892', '9044', '9088', '9281', '9566', '9645', '9981', '10081', '10156', '10196', '10199', '10854', '11032', '11534', '12301', '12315', '12345', '12372', '12396', '12698', '12827', '13004', '13032', '13094', '13203', '13412', '13863', '13933', '13992', '14864', '14989', '1188', '6012', '8880', '10713', '14467']"
3,83,3_pantry_food_accessible_hours,"['pantry', 'food', 'accessible', 'hours', 'continue', 'early', 'expand', 'use', 'open', 'easily']","['food pantry', 'food pantry', 'food pantry']","['5925', '8180', '10102', '108', '373', '425', '496', '674', '748', '819', '977', '1099', '1113', '1334', '2375', '2611', '2666', '2906', '3042', '3087', '3308', '3439', '3479', '3529', '3920', '4050', '4161', '4365', '5388', '5595', '5928', '5936', '5986', '6032', '6116', '6119', '6135', '6322', '6394', '6550', '6671', '6909', '7012', '7026', '7086', '7185', '7208', '7218', '7350', '8064', '8344', '8867', '9059', '9077', '9640', '10102', '10233', '10238', '10302', '10466', '10690', '10707', '11676', '12095', '12211', '12354', '12471', '13017', '13067', '13173', '13367', '13823', '13888', '13973', '14091', '14408', '14594', '14607', '14751', '15045', '2599', '3463', '8115']"
4,70,4_na_virtually_nna_ninguna,"['na', 'virtually', 'nna', 'ninguna', 'ni', 'nada', 'jonen', 'afectan', 'work', '']","['na', 'na', 'na']","['91', '243', '334', '391', '496', '584', '812', '1029', '1093', '1380', '2377', '3457', '3639', '4020', '5595', '5659', '5852', '5986', '6032', '6140', '6238', '6252', '6456', '6950', '7024', '7029', '8254', '8349', '8903', '9534', '9680', '10371', '10591', '10740', '10760', '11691', '12615', '13195', '13391', '13828', '15129', '243', '391', '1380', '2559', '3457', '4020', '5681', '6456', '8349', '9534', '10030', '10591', '13391', '243', '391', '406', '496', '1093', '1380', '3457', '3500', '6197', '6282', '8254', '9068', '10030', '10591', '10760', '14594']"
5,64,5_hungry_eat_tired_stomach,"['hungry', 'eat', 'tired', 'stomach', 'focus', 'hunger', 'concentrate', 'work', 'times', 'iâ']","['hungry work', 'work hungry', 'hungry tired focus']","['164', '257', '356', '380', '403', '828', '1059', '1167', '1194', '1293', '1315', '1362', '2260', '2410', '2560', '2620', '2881', '2906', '2946', '3112', '3154', '3479', '3489', '3752', '3916', '4124', '5429', '5816', '5827', '5904', '5953', '6272', '6732', '7006', '7008', '7047', '7177', '7185', '7256', '7274', '7615', '8001', '8416', '8896', '8969', '10112', '10698', '10792', '10813', '12110', '12207', '12478', '12821', '12898', '13226', '13796', '13867', '14001', '14879', '15000', '3489', '1453', '3489', '5378']"
6,58,6_insecurity_housing_insecure_food,"['insecurity', 'housing', 'insecure', 'food', 'experiencing', 'address', 'currently', 'chronic', 'insecurities', 'suffer']","['food housing insecurity', 'food housing insecurity', 'food housing insecurity']","['150', '373', '761', '2534', '2597', '3909', '4482', '4710', '5388', '6276', '6304', '6370', '6393', '6686', '7043', '8538', '8693', '8867', '9070', '9501', '9566', '9793', '9836', '10146', '10392', '10421', '11479', '11679', '11797', '12361', '13110', '13120', '13194', '13367', '13605', '14943', '15195', '2651', '4854', '5851', '5894', '6285', '7609', '11538', '13377', '14491', '957', '2637', '5853', '6170', '6173', '6657', '8031', '9048', '9620', '10318', '12850', '13906']"
7,53,7_survey_thank_hope_research,"['survey', 'thank', 'hope', 'research', 'answers', 'important', 'results', 'thanks', 'asking', 'conducting']","['thank survey', 'thank survey', 'thank survey']","['8444', '9186', '13139', '15121', '459', '522', '788', '1014', '1105', '1128', '1214', '2406', '2557', '2741', '2760', '2966', '3474', '3893', '5263', '5413', '5863', '5909', '5953', '6076', '6119', '6346', '6355', '6379', '6388', '6559', '7265', '7408', '7563', '7877', '7956', '8897', '8902', '8915', '9037', '9075', '9076', '9107', '9280', '10146', '10706', '10778', '11166', '11534', '11538', '11547', '13291', '13425', '13910']"
8,52,8_healthy_options_expensive_price,"['healthy', 'options', 'expensive', 'price', 'cheaper', 'healthier', 'affordable', 'meals', 'meal', 'eat']","['expensive meal options', 'cheaper healthier food contractor stationed intel served healthy food covid pandemic options served breakfast lunch dinner certain hours day', 'cheaper healthy lunch options']","['2416', '2870', '3349', '3356', '6464', '7886', '8043', '10240', '12296', '13321', '13447', '13756', '14613', '411', '571', '955', '965', '988', '1141', '1154', '1456', '1495', '1568', '2215', '2400', '2530', '2784', '2946', '3531', '3846', '4117', '4170', '4553', '5183', '7256', '8009', '8897', '8905', '9005', '9305', '9315', '10182', '10737', '10760', '11820', '12680', '13796', '13902', '15211', '3925', '10240', '11531']"
9,51,9_insecurity_housing_students_pantries,"['insecurity', 'housing', 'students', 'pantries', 'university', 'food', 'insecurities', 'help', 'struggle', 'safety']","['food housing insecurity affect students know', 'colleges universities help address food housing insecurity ways include providing emergency food housing assistance increasing access affordable housing providing free food pantries offering education programs help students better manage finances additionally schools partner outside organizations provide students additional resources legal aid mental health support', 'food safety education university akron kent state university ohio state university offer unique programs help students address housing food safety issues']","['4399', '5997', '6327', '6364', '8960', '12080', '13051', '14988', '17', '97', '228', '707', '2452', '2697', '2848', '2947', '3148', '3573', '5538', '5863', '6008', '6276', '6347', '6364', '6475', '6631', '6968', '8930', '8968', '9522', '10436', '10620', '11479', '11629', '11797', '12221', '12552', '12774', '13064', '13289', '13925', '14314', '14544', '14644', '3522', '4399', '5388', '8066', '9420', '10421', '14202']"
10,50,10_affecting_work_currently_thankfully,"['affecting', 'work', 'currently', 'thankfully', 'concern', 'experiencing', 'adversely', 'differ', 'resolved', 'na']","['affecting work', 'affecting work', 'affecting work']","['390', '513', '755', '923', '1222', '1427', '1545', '2397', '2443', '2588', '2589', '2619', '2877', '2915', '2998', '3135', '3435', '3729', '3905', '3964', '3986', '5643', '5968', '6056', '6074', '6381', '6400', '7908', '7916', '8472', '8567', '8953', '9166', '9570', '9896', '10315', '10395', '10685', '11534', '12345', '12900', '13039', '13722', '13916', '13918', '14510', '14601', '14619', '14719', '14896']"
11,43,11_anxiety_stress_anxious_lack,"['anxiety', 'stress', 'anxious', 'lack', 'makes', 'feel', 'duties', 'depressed', 'work', 'causing']","['stress makes hard concentrate dont sleep contributes anxiety stress', 'anxiety', 'anxiety stress makes difficult work']","['1737', '1776', '2852', '3702', '3837', '3875', '3878', '4222', '5017', '5460', '5597', '5719', '5836', '5888', '6075', '6124', '6287', '6703', '6875', '6998', '7477', '7652', '7831', '8115', '8178', '8344', '8364', '8570', '8945', '8966', '8997', '9112', '9776', '10316', '10655', '10690', '12674', '13291', '13804', '14149', '14231', '14406', '15024']"
12,42,12_insecurity_work_affect_rest,"['insecurity', 'work', 'affect', 'rest', 'affects', 'affected', 'housing', 'does', 'food', 'personal']","['food housing insecurity does affect work', 'food housing insecurity does affect work', 'food housing insecurity does affect work']","['2209', '2414', '2717', '2720', '2956', '4736', '4854', '5204', '5249', '6286', '6379', '6501', '6702', '6940', '6975', '7019', '7327', '8278', '8576', '9059', '9447', '9620', '10177', '10485', '10735', '10768', '11012', '12131', '12404', '12552', '12774', '12850', '14432', '14544', '15126', '2643', '9153', '7446', '7809', '8120', '10108', '10363']"
13,41,13_class_worry_students_affects,"['class', 'worry', 'students', 'affects', 'succeed', 'impacts', 'classes', 'greatly', 'effects', 'ability']","['worry students', 'impacts students ability fully engage classes learn', 'effects students work greatly ability stay classes focus']","['141', '228', '521', '2156', '2321', '2506', '3484', '5638', '5936', '6100', '6374', '6388', '6406', '7259', '7287', '7433', '7540', '8397', '8703', '8920', '9076', '9078', '9098', '9270', '9333', '9500', '9507', '10183', '10224', '10731', '12532', '13127', '14091', '14996', '2397', '3164', '6427', '6714', '9836', '13289', '14388']"
14,40,14_doesnt_thankfully_really_fortunately,"['doesnt', 'thankfully', 'really', 'fortunately', 'luckily', 'realize', 'fortunate', 'right', 'sure', 'needs']","['doesnt', 'doesnt', 'doesnt']","['412', '422', '1113', '2407', '2518', '2736', '2855', '3053', '3413', '4093', '5847', '6281', '6791', '6985', '7649', '7968', '8929', '8941', '9068', '9079', '9088', '9106', '9438', '9807', '10288', '10356', '10413', '11065', '12266', '12295', '12432', '13907', '14411', '15184', '15214', '6467', '819', '2785', '3752', '10413']"
15,39,15_housing_rentals_rent_market,"['housing', 'rentals', 'rent', 'market', 'city', 'want', 'navajo', 'real', 'nation', 'places']","['rent expensive forced parents probably end leaving abq good home decent price housing market terrible afford house salary', 'navajo nation needs housing families single people si gle people shouldnt left dont kids kids big responsibility people want want art turned away kids', 'large wellsupported literature empirically linking land use restrictions zoning height density limits architecturalstyle limitations limited housing supply university play valuable role disseminating information reference harvards edward glaeser gmus alain bertaud']","['2784', '2965', '3430', '7234', '7887', '9028', '11790', '2662', '2939', '3212', '5709', '5921', '5983', '6035', '6050', '6877', '7769', '7809', '8884', '9083', '11790', '12383', '12494', '12831', '13051', '13120', '13736', '13981', '14691', '15033', '1568', '2666', '3355', '3875', '4482', '7892', '8001', '10992', '13317']"
16,38,16_focus_concentration_unable_hard,"['focus', 'concentration', 'unable', 'hard', 'tasks', 'performing', 'energy', 'concentrate', 'makes', 'focused']","['hard focus', 'focus', 'focus work']","['152', '178', '285', '1477', '2653', '2686', '2730', '3200', '3342', '3569', '3882', '4157', '4550', '5880', '6006', '6359', '6823', '7448', '7821', '8671', '8902', '8928', '8968', '9008', '9558', '10233', '10566', '10742', '12158', '12320', '12594', '12666', '12818', '13801', '13913', '14226', '14927', '13888']"
17,36,17_inflation_rising_raise_increase,"['inflation', 'rising', 'raise', 'increase', 'rate', 'pay', 'match', 'raises', 'align', 'pace']","['need better pay rising inflation', 'pay inflation raises inflation', 'inflation']","['2656', '2930', '4064', '7767', '9466', '12528', '14314', '1188', '2503', '2615', '2656', '6121', '6138', '6437', '7006', '7177', '7840', '8345', '8485', '9036', '9262', '9481', '10832', '13291', '13801', '13912', '13997', '14567', '2656', '2852', '6326', '7840', '13203', '14136', '14424', '14925']"
18,36,18_help_assistance_espanola_people,"['help', 'assistance', 'espanola', 'people', 'questions', 'checking', 'different', 'lives', 'ashamed', 'counseling']","['long time ago needed money prevent children evicted ex left forced income checking account missed months rent children evicted live daughters lives mental health issues live issues gets food stamps helps purchase food', 'intersection housingfood insecurity intimate partner violence strong people leaving abusive relationships high accute time sensitive needs need interim long term supports current supports womens resource center wonderful extremely understaffed underfunded support need exists', 'espanola researched stigma community legislatures educated groups outside states struggling need rehab centers initiatives help addictedsick youth young families elderly espanola rd world country sympathy andor empathy people work hector balderas young mayor ones willing advocate espanola broad home term defines lives north santa fe north central new mexico']","['8897', '1029', '2518', '2704', '4710', '5080', '5095', '7252', '8178', '8671', '8938', '9016', '9062', '9494', '11483', '11559', '12295', '12532', '12978', '13731', '13858', '1059', '2167', '2518', '2703', '2784', '3918', '4442', '8920', '8998', '10258', '10447', '12183', '12478', '13094', '13850']"
19,36,19_adjuncts_adjunct_wage_pay,"['adjuncts', 'adjunct', 'wage', 'pay', 'living', 'professors', 'paid', 'salary', 'courses', 'graduate']","['pay adjuncts living wage', 'pay adjuncts living wage', 'pay adjuncts living wage']","['10854', '754', '1174', '1226', '1374', '1396', '1776', '2533', '6171', '6259', '6287', '6302', '6336', '6359', '6381', '6416', '6896', '6898', '7628', '8475', '9182', '9581', '10444', '12980', '13927', '14085', '14406', '14842', '14850', '1576', '2533', '6171', '6195', '6280', '10220', '14850']"
